,plate,well,code,trans.index,pool.index,distance,position,gene
166,1,166,1.00101E+22,5195,166,3,1780929,SP_1877
168,1,168,1.10101E+23,385,168,3,143521,SP_0145
171,1,171,1.1E+19,4592,171,2,425732,SP_0453
173,1,173,1.11111E+22,5248,173,3,1914872,SP_2007
175,1,175,1.10011E+23,186,175,3,77843,SP_0071
182,1,182,1.10011E+23,2897,182,3,1584744,SP_1684
183,1,183,1.11001E+23,124,183,3,68523,SP_0063
186,1,186,1.1E+22,4975,186,3,1269368,SP_1344
189,1,189,1.0101E+22,86,189,3,63294,
192,1,192,1.00011E+23,6160,192,2,1209696,SP_1275
198,1,198,1.10101E+23,1753,198,3,843978,
200,1,200,1.0011E+23,1154,200,3,510482,SP_0530
201,1,201,1.001E+23,718,201,3,277425,SP_0303
204,1,204,1.01001E+20,6001,204,3,998042,SP_1062
206,1,206,1.101E+23,3973,206,3,2046600,
209,1,209,1.01001E+23,838,209,2,343006,SP_0368
211,1,211,1.10001E+20,5940,211,3,441422,SP_0463
213,1,213,1.11001E+22,5259,213,3,1938475,SP_2032
214,1,214,1.01011E+22,4898,214,3,1103424,SP_1167
214.1,1,214,1.01011E+22,5997,214,3,989493,SP_1052
216,1,216,1.0011E+23,3238,216,3,1740142,SP_1829
218,1,218,1.11111E+21,5915,218,3,152160,SP_0155
222,1,222,1.101E+23,1761,222,3,846405,SP_0894
223,1,223,1.01101E+22,2054,223,3,1003588,SP_1068
223.1,1,223,1.01101E+22,4385,223,3,64583,
225,1,225,1.01011E+23,3253,225,3,1742663,
231,1,231,1.101E+23,1092,231,3,478810,SP_0498
241,1,241,1.11111E+19,5682,241,2,1226619,SP_1292
243,1,243,1.01101E+22,4755,243,3,723165,
244,1,244,1.1001E+22,5390,244,2,2090423,
249,1,249,1.01011E+21,1328,249,3,583414,SP_0615
249.1,1,249,1.01011E+21,5856,249,3,2043074,SP_2131
250,1,250,1.10101E+23,2676,250,2,1427334,SP_1519
255,1,255,1.11111E+23,466,255,3,161078,
255.1,1,255,1.11111E+23,791,255,2,298249,SP_0325
257,1,257,1.11101E+20,6129,257,3,278575,
258,1,258,1.00101E+22,3170,258,3,1719931,SP_1804
258.1,1,258,1.00101E+22,4883,258,3,1070775,SP_1142
261,1,261,1.00011E+22,4712,261,2,625649,SP_0654
261.1,1,261,1.00011E+22,6113,261,3,48714,SP_0045
266,1,266,1.10001E+23,1707,266,1,791653,SP_0845
269,1,269,1.10101E+23,1290,269,3,563403,SP_0592
269.1,1,269,1.10101E+23,1794,269,3,864516,
276,1,276,1.00001E+23,4356,276,2,2157399,SP_2236
287,1,287,1.01E+22,4728,287,2,648458,SP_0673
289,1,289,1.10111E+22,4637,289,3,477661,SP_0498
289.1,1,289,1.10111E+22,4812,289,3,898114,SP_0949
295,1,295,1.11011E+23,352,295,3,137580,SP_0139
295.1,1,295,1.11011E+23,2135,295,3,1070415,SP_1141
297,1,297,1.10111E+23,2060,297,2,1014368,
300,1,300,1.1101E+20,6048,300,2,1584485,SP_1684
303,1,303,1.10101E+23,2085,303,2,1042789,
304,1,304,1.00111E+21,5642,304,3,923390,SP_0977
305,1,305,1.01101E+21,5490,305,2,215302,SP_0245
306,1,306,1.11101E+23,513,306,2,169020,SP_0176
308,1,308,1.001E+22,5277,308,2,1958923,SP_2057
315,1,315,1.1001E+22,5132,315,3,1672670,SP_1768
317,1,317,1.1011E+23,3870,317,2,2022649,SP_2109
322,1,322,1.10101E+23,3033,322,2,1662801,SP_1761
324,1,324,1.11E+22,4666,324,2,528310,SP_0561
330,1,330,1.00001E+23,1608,330,2,710899,SP_0751
330.1,1,330,1.00001E+23,2750,330,3,1507282,SP_1605
332,1,332,1.01E+19,6125,332,3,214953,
333,1,333,1.10101E+21,5286,333,3,1984661,
337,1,337,1.11101E+23,1161,337,3,512126,
337.1,1,337,1.11101E+23,1988,337,3,982286,
343,1,343,1.0101E+23,2967,343,3,1619211,
345,1,345,1.00001E+21,5618,345,3,739408,SP_0785
350,1,350,1.0001E+21,3159,350,3,1717798,SP_1800
358,1,358,1.1111E+23,75,358,3,60901,SP_0057
358.1,1,358,1.1111E+23,641,358,2,222784,SP_0252
365,1,365,1.1011E+23,2989,365,3,1642102,
367,1,367,1.10011E+19,6152,367,3,842007,SP_0892
372,1,372,1.1E+20,5956,372,3,547459,
374,1,374,1.00011E+22,4514,374,3,213941,SP_0243
377,1,377,1.01011E+21,5649,377,3,971636,SP_1029
378,1,378,1.1001E+23,646,378,3,223462,SP_0253
378.1,1,378,1.1001E+23,2881,378,3,1580194,SP_1681
382,1,382,1.00011E+23,1287,382,3,559863,SP_0588
390,2,6,1.00011E+20,662,390,3,242288,SP_0267
390.1,2,6,1.00011E+20,5808,390,3,1803307,SP_1897
391,2,7,1.01101E+23,1959,391,3,974591,SP_1033
395,2,11,1E+23,2427,395,2,1265184,SP_1342
402,2,18,1.1111E+23,1433,402,3,633775,SP_0662
414,2,30,1.01001E+22,3281,414,2,1754344,SP_1846
415,2,31,1.011E+23,2814,415,3,1536483,SP_1637
415.1,2,31,1.011E+23,3359,415,3,1793907,SP_1889
419,2,35,1.00101E+19,6138,419,2,451695,SP_0473
425,2,41,1.00101E+22,4444,425,3,118378,
425.1,2,41,1.00101E+22,5018,425,3,1383573,SP_1470
429,2,45,1.00111E+22,5113,429,3,1652693,SP_1751
429.1,2,45,1.00111E+22,5176,429,3,1750601,SP_1840
430,2,46,1.111E+23,1192,430,3,529899,SP_0563
436,2,52,1.011E+23,1303,436,3,567729,
436.1,2,52,1.011E+23,5962,436,3,626700,SP_0655
444,2,60,1.01111E+23,1728,444,3,832088,SP_0882
444.1,2,60,1.01111E+23,2242,444,2,1154216,SP_1221
444.2,2,60,1.01111E+23,2611,444,3,1367889,SP_1447
447,2,63,1.101E+23,1472,447,2,652053,
447.1,2,63,1.101E+23,2603,447,3,1363094,
457,2,73,1.0101E+23,3656,457,3,1937788,SP_2031
458,2,74,1.1101E+23,1935,458,2,952404,
460,2,76,1.0011E+23,1711,460,3,795209,SP_0848
472,2,88,1.1E+21,4139,472,2,2082010,SP_2164
472.1,2,88,1.1E+21,5009,472,3,1354549,SP_1435
473,2,89,1.11111E+22,5338,473,2,2047271,SP_2136
474,2,90,1.001E+23,37,474,2,41630,SP_0042
475,2,91,1.11001E+21,5505,475,3,281445,
477,2,93,1.10101E+23,4133,477,2,2081129,
480,2,96,1.10011E+23,5059,480,2,1519059,SP_1617
486,2,102,1.111E+23,1252,486,3,545813,
487,2,103,1.1001E+23,3015,487,3,1658559,SP_1758
487.1,2,103,1.1001E+23,3217,487,3,1736704,SP_1825
489,2,105,1.00111E+21,2018,489,3,989491,SP_1052
491,2,107,1.111E+23,2065,491,3,1022409,
496,2,112,1.111E+23,2029,496,3,993365,SP_1056
499,2,115,1.111E+23,3483,499,3,1855966,SP_1953
501,2,117,1.10101E+22,5237,501,3,1875158,SP_1967
512,2,128,1.00111E+23,1152,512,3,510277,SP_0530
514,2,130,1.1111E+19,6133,514,3,348071,SP_0369
517,2,133,1.00101E+23,355,517,3,138042,SP_0139
527,2,143,1.11001E+23,2722,527,3,1462318,SP_1552
529,2,145,1.0101E+19,6131,529,3,304399,
538,2,154,1.01111E+23,2727,538,3,1477243,
541,2,157,1.11E+23,2017,541,3,989338,SP_1052
546,2,162,1.01001E+22,481,546,3,162238,
546.1,2,162,1.01001E+22,5762,546,3,1663174,SP_1761
550,2,166,1.11001E+22,4635,550,3,468706,
550.1,2,166,1.11001E+22,5661,550,3,1004968,
555,2,171,1.0001E+21,5063,555,3,1521996,
555.1,2,171,1.0001E+21,5459,555,3,102930,SP_0101
555.2,2,171,1.0001E+21,5515,555,3,418828,SP_0445
556,2,172,1.00001E+23,961,556,3,432206,
557,2,173,1.0011E+23,3778,557,3,1991803,SP_2082
560,2,176,1.01101E+23,2945,560,3,1598749,
565,2,181,1.11E+23,891,565,3,375352,SP_0395
565.1,2,181,1.11E+23,2999,565,3,1653354,SP_1752
567,2,183,1.11E+22,3272,567,3,1744870,SP_1833
569,2,185,1.11101E+20,5904,569,3,113182,
569.1,2,185,1.11101E+20,6013,569,2,1189446,SP_1256
570,2,186,1.01011E+22,5206,570,2,1797806,SP_1892
570.1,2,186,1.01011E+22,5348,570,3,2061966,SP_2147
575,2,191,1.1101E+23,425,575,3,151639,SP_0154
575.1,2,191,1.1101E+23,3895,575,3,2031447,SP_2118
575.2,2,191,1.1101E+23,4793,575,3,836216,SP_0886
581,2,197,1.111E+19,5298,581,3,2004319,SP_2096
585,2,201,1.01001E+20,6017,585,2,1234664,SP_1308
588,2,204,1.00001E+23,33,588,3,40290,
590,2,206,1.1111E+22,6102,590,3,2084780,
591,2,207,1.001E+23,659,591,3,238883,SP_0265
592,2,208,1.0001E+23,3028,592,2,1661747,SP_1759
599,2,215,1.0001E+21,4794,599,3,840054,
600,2,216,1.01E+20,3795,600,3,1997009,SP_2088
601,2,217,1.1011E+23,3512,601,3,1861117,
612,2,228,1.0111E+23,1892,612,3,925274,SP_0979
615,2,231,1.001E+23,1984,615,3,981058,
616,2,232,1.1001E+22,5110,616,3,1627295,
617,2,233,1.0101E+22,4515,617,2,215205,SP_0245
620,2,236,1.10101E+22,4870,620,2,1053672,SP_1120
621,2,237,1.011E+23,1450,621,3,640449,
622,2,238,1.10011E+23,3908,622,3,2035792,SP_2123
628,2,244,1.1101E+20,5917,628,3,159477,SP_0163
628.1,2,244,1.1101E+20,6059,628,3,1670375,SP_1767
630,2,246,1.10001E+23,3649,630,3,1933726,SP_2027
632,2,248,1.11001E+23,559,632,3,191696,SP_0205
633,2,249,1.01101E+23,305,633,3,127698,
633.1,2,249,1.01101E+23,1911,633,3,943705,SP_1002
634,2,250,1.0001E+22,2002,634,3,986040,SP_1046
636,2,252,1.01E+23,635,636,3,222325,
645,2,261,1.11001E+21,4952,645,3,1248091,
646,2,262,1.01E+22,4790,646,3,822491,SP_2247
652,2,268,1.1101E+23,4112,652,3,2078801,SP_2160
652.1,2,268,1.1101E+23,4274,652,3,2110004,
657,2,273,1.001E+22,4924,657,3,1187887,
660,2,276,1.01011E+23,4035,660,3,2065632,
665,2,281,1.11001E+23,775,665,3,292357,SP_0317
667,2,283,1.00111E+19,2390,667,3,1249559,SP_1326
668,2,284,1.1101E+22,5384,668,2,2083444,SP_2167
674,2,290,1.01011E+23,677,674,3,257576,
676,2,292,1.1101E+21,5582,676,3,605365,SP_0641
679,2,295,1.10101E+21,5797,679,3,1765009,SP_1857
680,2,296,1.1101E+23,1470,680,3,651738,
682,2,298,1.101E+23,3578,682,2,1898431,SP_1995
683,2,299,1.01101E+23,1636,683,2,730069,SP_0771
686,2,302,1.10011E+21,5664,686,3,1041870,SP_1112
696,2,312,1.11001E+23,1638,696,3,730514,SP_0771
697,2,313,1.01E+22,4485,697,3,164149,SP_0168
706,2,322,1.00001E+22,5138,706,1,1694254,SP_1775
711,2,327,1.1101E+23,2275,711,3,1184872,SP_1250
711.1,2,327,1.1101E+23,2863,711,3,1575179,
714,2,330,1.10011E+23,1408,714,3,623905,SP_0651
722,2,338,1.11111E+19,4737,722,3,670966,SP_0705
722.1,2,338,1.11111E+19,5057,722,3,1517129,SP_1615
722.2,2,338,1.11111E+19,6169,722,2,1344533,SP_1424
724,2,340,1.0001E+23,4090,724,3,2075609,SP_2159
724.1,2,340,1.0001E+23,6168,724,3,1330734,
726,2,342,1.10011E+21,5542,726,2,476172,
730,2,346,1.01001E+22,4847,730,2,985333,SP_1046
733,2,349,1.001E+23,3342,733,3,1773577,SP_1867
735,2,351,1.01101E+23,4358,735,3,2157481,SP_2236
736,2,352,1.00011E+23,2139,736,3,1071129,F41-SP1142-SP1143
739,2,355,1.1111E+23,1422,739,2,629251,SP_0658
739.1,2,355,1.1111E+23,4093,739,3,2075881,SP_2159
749,2,365,1.01001E+19,4377,749,3,49986,SP_0046
752,2,368,1.111E+23,2808,752,3,1535442,
753,2,369,1.10001E+23,3071,753,3,1672375,SP_1767
753.1,2,369,1.10001E+23,3638,753,3,1931427,SP_2026
757,2,373,1.01001E+23,3725,757,2,1958066,SP_2057
767,2,383,1.111E+23,1517,767,3,670409,SP_0704
772,3,4,1.0111E+23,1442,772,3,637728,SP_0664
777,3,9,1.0101E+23,1612,777,3,711900,
781,3,13,1.10111E+23,2747,781,3,1503987,SP_1600
782,3,14,1.01E+23,833,782,3,341261,SP_0367
783,3,15,1.00101E+20,6071,783,3,1786911,SP_1884
784,3,16,1.01101E+23,1451,784,3,641770,SP_0665
789,3,21,1.00011E+23,3115,789,2,1702747,SP_1784
791,3,23,1.1011E+20,435,791,3,152768,SP_0155
792,3,24,1.0001E+23,89,792,3,63680,
800,3,32,1.10001E+23,1916,800,3,947291,SP_1004
800.1,3,32,1.10001E+23,2044,800,3,997186,SP_1061
805,3,37,1.111E+23,1048,805,3,458598,SP_0478
806,3,38,1E+22,5297,806,3,2003984,SP_2096
807,3,39,1.11101E+22,4509,807,3,209787,
808,3,40,1.11011E+23,5360,808,3,2067276,
809,3,41,1.1E+23,153,809,2,73688,
814,3,46,1.1111E+22,538,814,3,180380,SP_0187
816,3,48,1.11001E+21,5804,816,3,1793276,SP_1889
818,3,50,1.001E+23,2016,818,3,989068,SP_1051
824,3,56,1.01101E+23,3757,824,3,1981702,SP_2073
827,3,59,1.01E+23,413,827,3,149577,SP_0151
829,3,61,1.10011E+23,3734,829,3,1961308,SP_2059
832,3,64,1.10011E+23,2281,832,3,1186712,SP_1251
832.1,3,64,1.10011E+23,4777,832,2,772395,
842,3,74,1.111E+21,5640,842,3,911297,SP_0965
845,3,77,1.10101E+22,5455,845,3,87790,SP_0082
858,3,90,1.10101E+23,3868,858,3,2021599,SP_2108
861,3,93,1.01111E+23,3475,861,3,1854213,
864,3,96,1.0111E+22,3574,864,3,1895909,SP_1992
865,3,97,1.101E+22,4890,865,3,1087079,SP_1154
867,3,99,1.101E+23,407,867,2,147798,SP_0150
869,3,101,1.101E+23,276,869,3,110842,SP_0109
869.1,3,101,1.101E+23,4071,869,3,2073692,SP_2158
871,3,103,1.10101E+23,1296,871,3,564528,
873,3,105,1.1001E+22,5168,873,3,1742394,SP_1831
878,3,110,1.1001E+22,5342,878,3,2052985,SP_2142
879,3,111,1.001E+20,5596,879,3,642728,SP_0666
880,3,112,1.10011E+22,4529,880,3,259593,SP_0281
882,3,114,1.11111E+21,5650,882,3,972290,
883,3,115,1E+23,2541,883,3,1344704,SP_1424
885,3,117,1.01E+21,5453,885,2,84071,
888,3,120,1.1E+21,5566,888,3,553660,SP_0584
891,3,123,1.0011E+23,570,891,3,210389,SP_0240
891.1,3,123,1.0011E+23,1384,891,3,615950,SP_0648
891.2,3,123,1.0011E+23,2765,891,3,1517243,SP_1615
893,3,125,1.10001E+23,1198,893,3,535491,
894,3,126,1.0011E+23,4032,894,3,2064720,SP_2151
900,3,132,1.00111E+23,20,900,3,21333,SP_0017
906,3,138,1.111E+23,2036,906,2,994876,
906.1,3,138,1.111E+23,3606,906,3,1923691,SP_2017
907,3,139,1.0001E+23,850,907,3,351936,SP_0373
914,3,146,1.1101E+21,5822,914,3,1918611,SP_2011
917,3,149,1.01E+23,2141,917,2,1071972,SP_1145
917.1,3,149,1.01E+23,4062,917,3,2072191,
921,3,153,1.00001E+21,5599,921,3,671857,SP_0706
922,3,154,1.1001E+22,4590,922,3,423542,
923,3,155,1.01101E+23,923,923,3,388992,
923.1,3,155,1.01101E+23,3378,923,3,1800525,SP_1894
933,3,165,1.11001E+21,6051,933,3,1629407,SP_1725
935,3,167,1.111E+23,1052,935,3,459279,SP_0479
935.1,3,167,1.111E+23,3596,935,0,1906889,SP_2003
939,3,171,1.10011E+23,4370,939,3,2160725,SP_2240
943,3,175,1.00101E+23,294,943,3,117132,
943.1,3,175,1.00101E+23,1682,943,3,775642,
945,3,177,1.101E+23,3800,945,3,1998634,
946,3,178,1.01111E+23,3919,946,2,2038954,SP_2127
950,3,182,1.01101E+23,4252,950,3,2101455,
952,3,184,1.00101E+23,2949,952,3,1599180,
959,3,191,1.011E+22,4825,959,3,941262,SP_1000
959.1,3,191,1.011E+22,6050,959,3,1619277,
960,3,192,1.11111E+22,4956,960,3,1250124,SP_1326
960.1,3,192,1.11111E+22,4958,960,3,1251839,SP_1327
964,3,196,1.0101E+22,2612,964,3,1367911,SP_1447
965,3,197,1.11101E+22,4636,965,2,471246,SP_0494
972,3,204,1.0101E+22,1895,972,3,926508,SP_0980
972.1,3,204,1.0101E+22,5982,972,2,876969,SP_0922
981,3,213,1.00111E+23,38,981,3,42966,
981.1,3,213,1.00111E+23,6155,981,3,976347,
983,3,215,1.101E+23,4250,983,3,2101074,SP_2182
990,3,222,1.11101E+20,6029,990,2,1351533,SP_1433
993,3,225,1.1E+20,4179,993,3,2087869,SP_2169
995,3,227,1.00111E+23,1249,995,2,545485,SP_0577
995.1,3,227,1.00111E+23,3808,995,3,2004521,SP_2096
995.2,3,227,1.00111E+23,3826,995,3,2009006,
996,3,228,1.00011E+20,5637,996,2,896276,SP_0946
998,3,230,1.11111E+23,128,998,3,68829,SP_0063
1000,3,232,1.01E+23,977,1000,3,438065,
1004,3,236,1.001E+23,5921,1004,3,180475,SP_0187
1005,3,237,1.1001E+23,2202,1005,3,1120733,
1016,3,248,1.111E+23,1426,1016,3,630273,
1018,3,250,1.10101E+21,5837,1018,3,1965873,SP_2065
1025,3,257,1.10011E+21,5536,1025,3,463539,
1025.1,3,257,1.10011E+21,5587,1025,2,621164,SP_0648
1034,3,266,1.111E+23,644,1034,3,223207,
1040,3,272,1.00011E+22,5055,1040,3,1516425,SP_1615
1042,3,274,1.00111E+23,1712,1042,3,795272,SP_0848
1042.1,3,274,1.00111E+23,4098,1042,3,2076531,SP_2159
1044,3,276,1.01101E+23,2839,1044,3,1546273,SP_1647
1045,3,277,1.0101E+22,4852,1045,3,987667,
1047,3,279,1.111E+21,4928,1047,2,1211257,
1051,3,283,1.01001E+22,4519,1051,3,218830,SP_0250
1051.1,3,283,1.01001E+22,5651,1051,3,976673,SP_1035
1053,3,285,1.0001E+23,1342,1053,2,599182,
1069,3,301,1.01011E+19,6172,1069,3,1390858,
1071,3,303,1.1111E+23,1561,1071,3,686735,SP_0720
1075,3,307,1.0111E+21,5188,1075,3,1768880,
1077,3,309,1.00011E+23,2113,1077,3,1057023,SP_1123
1078,3,310,1.00101E+22,4934,1078,2,1219352,
1078.1,3,310,1.00101E+22,5268,1078,3,1946848,SP_2041
1080,3,312,1.10011E+23,2670,1080,2,1408659,SP_1500
1080.1,3,312,1.10011E+23,3166,1080,3,1718946,SP_1802
1085,3,317,1.101E+23,1602,1085,2,707107,SP_0746
1085.1,3,317,1.101E+23,2780,1085,3,1520765,SP_1621
1088,3,320,1.10001E+18,4513,1088,3,213744,SP_0243
1088.1,3,320,1.10001E+18,6262,1088,3,2029714,SP_2115
1089,3,321,1.0011E+23,341,1089,2,136622,SP_0137
1094,3,326,1.1011E+21,4832,1094,3,966161,SP_1023
1094.1,3,326,1.1011E+21,5369,1094,3,2075566,SP_2159
1095,3,327,1.01011E+19,1353,1095,3,603163,
1095.1,3,327,1.01011E+19,6194,1095,3,2007553,SP_2099
1096,3,328,1.00101E+23,2465,1096,2,1278931,SP_1357
1096.1,3,328,1.00101E+23,3983,1096,3,2048799,
1099,3,331,1.01101E+21,5663,1099,2,1007734,SP_1071
1101,3,333,1.10111E+23,1749,1101,3,841778,SP_0892
1103,3,335,1.0001E+23,2023,1103,3,990132,SP_1053
1105,3,337,1.11011E+23,1013,1105,2,450759,SP_0473
1106,3,338,1.0111E+20,5950,1106,2,505003,
1108,3,340,1.11001E+21,5545,1108,3,492948,SP_0510
1110,3,342,1.001E+21,5826,1110,3,1936138,SP_2030
1112,3,344,1.11E+22,5783,1112,3,1734261,SP_1824
1113,3,345,1.01001E+20,2595,1113,3,1355884,SP_1435
1114,3,346,1.11111E+23,697,1114,3,265518,SP_0287
1114.1,3,346,1.11111E+23,1007,1114,3,449975,
1117,3,349,1.011E+23,1520,1117,3,670617,SP_0704
1119,3,351,1.0011E+19,6323,1119,3,1280221,SP_1358
1125,3,357,1.00001E+23,2121,1125,2,1063388,SP_1129
1128,3,360,1.11111E+19,6220,1128,3,274196,SP_0298
1133,3,365,1.0011E+22,5272,1133,2,1955143,
1137,3,369,1.11101E+23,2404,1137,2,1253826,SP_1329
1139,3,371,1.001E+23,630,1139,3,221734,SP_0251
1145,3,377,1.10101E+22,4690,1145,3,600428,SP_0636
1153,4,1,1.1E+23,1546,1153,3,681983,
1156,4,4,1.11111E+23,1309,1156,3,570187,SP_0604
1163,4,11,1.0001E+22,4518,1163,3,217058,SP_0247
1167,4,15,1.11111E+23,3011,1167,3,1656538,SP_1755
1167.1,4,15,1.11111E+23,3419,1167,3,1830168,
1169,4,17,1.00101E+23,545,1169,2,185114,
1174,4,22,1.11001E+22,5256,1174,3,1930021,
1175,4,23,1.1001E+23,1809,1175,3,869146,
1176,4,24,1.11111E+23,1270,1176,2,552257,SP_0582
1176.1,4,24,1.11111E+23,2375,1176,3,1243884,SP_1320
1177,4,25,1.00111E+22,1890,1177,3,924416,SP_0978
1177.1,4,25,1.00111E+22,4537,1177,2,278951,SP_0305
1186,4,34,1.1111E+23,67,1186,3,59929,SP_0057
1189,4,37,1E+23,1998,1189,3,984976,
1201,4,49,1.11111E+21,1464,1201,3,647482,SP_0672
1206,4,54,1.1111E+23,693,1206,3,264798,SP_0286
1208,4,56,1.1111E+23,2227,1208,3,1133806,SP_1200
1212,4,60,1.00101E+22,4813,1212,3,901095,
1213,4,61,1.11001E+23,2490,1213,3,1304634,
1215,4,63,1.11E+23,2850,1215,3,1555032,SP_1654
1223,4,71,1.10101E+21,5733,1223,3,1479184,SP_1573
1223.1,4,71,1.10101E+21,5768,1223,2,1674625,SP_1770
1226,4,74,1.10101E+21,5828,1226,3,1937195,SP_2031
1235,4,83,1.11E+23,2349,1235,2,1235056,SP_1308
1238,4,86,1.1101E+22,5781,1238,3,1721842,SP_1808
1246,4,94,1.111E+22,5211,1246,3,1801686,SP_1895
1248,4,96,1.1011E+20,3843,1248,3,2012820,SP_2102
1255,4,103,1.00001E+21,5594,1255,2,642256,
1266,4,114,1.10101E+22,4778,1266,3,776396,SP_0826
1273,4,121,1.0001E+23,2066,1273,3,1024543,SP_1087
1279,4,127,1.10101E+21,5644,1279,3,948167,SP_1004
1281,4,129,1.001E+21,5858,1281,3,2046352,
1284,4,132,1.01011E+22,5128,1284,3,1671218,SP_1767
1296,4,144,1.00111E+22,4735,1296,3,668159,
1301,4,149,1.001E+21,5676,1301,2,1125762,
1305,4,153,1.00111E+23,1179,1305,3,518188,SP_0546
1316,4,164,1.10011E+22,6224,1316,3,546953,SP_0578
1318,4,166,1.1011E+21,4918,1318,3,1147312,
1321,4,169,1.0101E+22,4458,1321,2,138055,SP_0139
1325,4,173,1.00001E+21,5563,1325,3,542749,
1328,4,176,1.10001E+23,2602,1328,3,1362012,SP_1441
1330,4,178,1.1111E+22,1652,1330,3,740818,SP_0787
1338,4,186,1.001E+21,5527,1338,3,453524,SP_0475
1348,4,196,1.11101E+23,122,1348,3,68405,SP_0063
1348.1,4,196,1.11101E+23,3684,1348,3,1942318,SP_2035
1350,4,198,1.0011E+22,852,1350,3,353542,
1352,4,200,1.00111E+22,4539,1352,3,280972,SP_0307
1353,4,201,1.01E+23,40,1353,2,43874,SP_0043
1354,4,202,1.011E+23,3782,1354,3,1992885,SP_2083
1356,4,204,1.11E+23,5152,1356,3,1720508,
1357,4,205,1.10011E+23,4239,1357,3,2094798,SP_2177
1362,4,210,1.011E+23,3501,1362,3,1858945,SP_1954
1362.1,4,210,1.011E+23,4366,1362,2,2159149,SP_2239
1374,4,222,1.011E+23,2706,1374,2,1451657,SP_1544
1376,4,224,1.01E+22,4299,1376,3,2119504,SP_2197
1379,4,227,1.10101E+22,4802,1379,2,864951,SP_0912
1379.1,4,227,1.10101E+22,5278,1379,2,1958935,SP_2057
1382,4,230,1.00111E+21,5636,1382,3,889677,SP_0938
1385,4,233,1.101E+17,6279,1385,3,687392,SP_0721
1386,4,234,1.0001E+22,5386,1386,3,2084052,SP_2167
1393,4,241,1.11011E+20,6302,1393,3,77085,SP_0071
1405,4,253,1.01101E+21,5869,1405,3,2073028,SP_2158
1408,4,256,1.1E+23,324,1408,2,134929,SP_0136
1409,4,257,1.11111E+23,127,1409,2,68730,SP_0063
1409.1,4,257,1.11111E+23,3310,1409,3,1763962,
