"","trans.index","pool.index","distance","position","gene","plate","well","code"
"146",4178,542,0,2087600,"SP_2169",2,158,"100010001001110011110101"
"147",5858,544,2,1778207,"",2,160,"000100101011101111100111"
"148",2926,549,0,1591385,"SP_1690",2,165,"110011110001010001111110"
"149",1924,550,1,950359,"SP_1005",2,166,"011100101111101010011001"
"150",106,553,3,66005,"SP_0060",2,169,"111010001101101111101000"
"151",1225,553,0,543540,"SP_0576",2,169,"111010001101101111101000"
"152",1969,554,3,977897,"SP_1037",2,170,"110110001011100011011101"
"153",3079,554,0,1674537,"",2,170,"110110001011100011011101"
"154",477,557,0,162072,"SP_0166",2,173,"100110011101111000011011"
"155",3111,557,3,1699575,"SP_1781",2,173,"100110011101111000011011"
"156",5307,564,0,1997353,"SP_2088",2,180,"011101001110001000010001"
"157",170,566,3,76760,"SP_0071",2,182,"100001111011110101001110"
"158",5356,570,0,2052796,"SP_2142",2,186,"010101100110010110101111"
"159",4714,573,3,615548,"SP_0648",2,189,"011100011010010110011111"
"160",4741,574,1,646618,"SP_0671",2,190,"010111000001011101111110"
"161",5220,577,0,1797031,"SP_1891",2,193,"010101101010111101010110"
"162",1221,578,0,542884,"",2,194,"101011110011100100001001"
"163",6214,581,0,133467,"SP_0133",2,197,"000011110011010101011111"
"164",75,582,3,60901,"SP_0057",2,198,"011011000000110010100110"
"165",6112,585,0,1437482,"",2,201,"000101001011111010110001"
"166",4576,590,3,342071,"SP_0368",2,206,"011111011110111000100100"
"167",3887,591,3,2026199,"SP_2112",2,207,"100100111100100111111001"
"168",4234,592,3,2094532,"SP_2176",2,208,"100010111101100001001110"
"169",1097,594,0,482898,"",2,210,"100100001110000101001011"
"170",3863,598,3,2020273,"",2,214,"110011110100110101110001"
"171",4809,603,0,844816,"SP_0894",2,219,"011100010101010100111001"
"172",4369,604,0,2160460,"SP_2240",2,220,"111001110101010110011001"
"173",4200,608,0,2091481,"SP_2173",2,224,"100110010001010011100010"
"174",3868,609,3,2021599,"SP_2108",2,225,"010111110010110101001011"
"175",2228,610,3,1134963,"SP_1201",2,226,"011010010111000101110111"
"176",4876,610,1,995671,"",2,226,"011010010111000101110111"
"177",4684,617,0,557197,"",2,233,"010101011111011011001100"
"178",5871,619,0,1860021,"SP_1956",2,235,"001110010101110001100101"
"179",3629,622,0,1929114,"",2,238,"110011110001001011100010"
"180",3219,632,0,1736981,"",2,248,"111001000000101010011111"
"181",6285,635,0,2077915,"SP_2160",2,251,"000011001001010110100110"
"182",361,641,2,138546,"SP_0140",2,257,"111011010001010000101101"
"183",4807,643,1,829195,"SP_0879",2,259,"011100100010010001111011"
"184",3856,644,0,2015385,"",2,260,"100110010100101110001110"
"185",6281,649,0,2025449,"SP_2112",2,265,"000010011100111100001001"
"186",1390,651,0,617336,"SP_0648",2,267,"101111010000001101100000"
"187",1838,653,0,884260,"SP_0931",2,269,"100101100110101000110101"
"188",5261,657,0,1884193,"",2,273,"010010001010011010010110"
"189",437,666,1,152980,"SP_0155",2,282,"001001111111110000001100"
"190",5460,672,3,100449,"SP_0098",2,288,"001100111011001011100100"
"191",5564,673,3,457938,"SP_0478",2,289,"001111111100010110011100"
"192",3185,674,0,1728152,"SP_1815",2,290,"101011001010101010010101"
"193",5133,684,0,1667919,"SP_1765",2,300,"010101010110010111000101"
"194",493,685,0,163890,"SP_0168",2,301,"100100001111010101010000"
"195",2379,692,3,1245518,"SP_1322",2,308,"011010100011010111001100"
"196",6294,694,0,2158773,"",2,310,"000010010011011001101010"
"197",5644,695,3,729303,"SP_0770",2,311,"001111111010011011001100"
"198",3434,703,3,1838375,"",2,319,"100011101110111000010111"
"199",4272,711,0,2109996,"",2,327,"111010000010010011101000"
"200",1538,714,0,675548,"SP_0711",2,330,"110011111101000100100001"
"201",6237,715,0,684467,"",2,331,"000011000110001110011100"
"202",4386,716,0,50787,"",2,332,"010101100101100101101100"
"203",4587,730,1,370672,"",2,346,"010100111010110000001001"
"204",4073,733,1,2073789,"SP_2158",2,349,"100100001001111111000101"
"205",2721,734,1,1461449,"SP_1552",2,350,"110101110110011010011001"
"206",2247,739,3,1155182,"SP_1222",2,355,"111110100011011010100110"
"207",5803,741,3,1580466,"SP_1681",2,357,"001110101011111000101110"
"208",907,744,3,376838,"SP_0397",2,360,"111001001000101111101110"
"209",4945,750,2,1221913,"",2,366,"010100110001011100100111"
"210",2734,756,1,1484511,"SP_1578",2,372,"111101100000010111110000"
"211",1819,760,3,873631,"SP_0919",2,376,"101101110001110101000111"
"212",5801,760,2,1554753,"",2,376,"101101110001110101000111"
"213",6144,762,2,1675087,"SP_1770",2,378,"000101111111110001101001"
"214",4898,763,0,1056740,"",2,379,"011100100001111000100100"
"215",2171,764,2,1096810,"SP_1161",2,380,"110000001100010110011100"
"216",1760,777,2,846177,"SP_0894",3,9,"101010100000100100110011"
"217",1326,779,0,579905,"SP_0613",3,11,"100101100100010001110001"
"218",1588,791,3,698792,"",3,23,"000110110110111110101100"
"219",6110,791,1,1424412,"",3,23,"000110110110111110101100"
"220",1811,793,0,869467,"",3,25,"110010101000101110001110"
"221",1842,800,3,884861,"SP_0931",3,32,"110001100011111111001010"
"222",3828,807,1,2009187,"",3,39,"011110110100101100011110"
"223",2030,808,3,993609,"SP_1056",3,40,"111011011000111000011110"
"224",3314,813,3,1765606,"SP_1858",3,45,"010000101100111111111010"
"225",4921,813,3,1110824,"",3,45,"010000101100111111111010"
"226",5604,816,2,554012,"",3,48,"001110011000001010000111"
"227",2945,817,3,1598749,"",3,49,"011100011001100101011100"
"228",158,818,3,74225,"SP_0071",3,50,"100100111110000111011110"
"229",3105,828,0,1695005,"",3,60,"100100001110011111010111"
"230",5664,830,1,865026,"SP_0912",3,62,"001110100101001101010110"
"231",5132,832,3,1667696,"",3,64,"110011111001010100001111"
"232",4550,833,1,274196,"SP_0298",3,65,"011001100100001001001011"
"233",4959,839,3,1243705,"",3,71,"000111010111111000011110"
"234",6120,839,2,1512959,"SP_1612",3,71,"000111010111111000011110"
"235",6121,839,0,1512991,"SP_1612",3,71,"000111010111111000011110"
"236",5532,842,2,356477,"SP_0377",3,74,"001111000001110101110111"
"237",4971,844,0,1252858,"SP_1328",3,76,"010101010101000011000011"
"238",4527,845,3,218830,"SP_0250",3,77,"011010101100110010101111"
"239",5297,845,3,1984661,"",3,77,"011010101100110010101111"
"240",288,846,0,116174,"",3,78,"110011110101111100001001"
"241",4,847,3,3212,"SP_0004",3,79,"111000011111100110011001"
"242",3550,847,0,1883935,"",3,79,"111000011111100110011001"
"243",1110,859,0,489093,"SP_0508",3,91,"111110011100011001101010"
"244",3195,873,2,1732917,"",3,105,"011001011001101010100000"
"245",4692,878,2,574014,"",3,110,"011001011010011001100011"
"246",5830,879,3,1702295,"SP_1784",3,111,"000100100101000011111100"
"247",5788,882,0,1483398,"SP_1577",3,114,"001111110011001101011001"
"248",2390,884,3,1249559,"SP_1326",3,116,"100011100011011010010110"
"249",410,891,3,148827,"SP_0151",3,123,"100110101000111010111011"
"250",2179,894,3,1102356,"SP_1166",3,126,"100110100010011111101101"
"251",1617,915,3,712990,"SP_0754",3,147,"010100111011111001110001"
"252",5361,919,1,2059930,"SP_2146",3,151,"010001001101011110001101"
"253",4384,920,3,48714,"SP_0045",3,152,"010000100100011110110001"
"254",5882,921,1,1936138,"SP_2030",3,153,"001000011110110110111110"
"255",3501,922,1,1858945,"SP_1954",3,154,"011001011110110100010100"
"256",3171,923,0,1720252,"",3,155,"101101001110110110001011"
"257",2589,939,3,1354894,"SP_1435",3,171,"110011110000100101011111"
"258",4845,939,3,966161,"SP_1023",3,171,"110011110000100101011111"
"259",305,941,1,127698,"",3,173,"100100001001111100111010"
"260",1911,941,3,943705,"SP_1002",3,173,"100100001001111100111010"
"261",1824,945,1,875413,"",3,177,"110100011111111101100000"
"262",359,947,0,138446,"SP_0140",3,179,"100011100100111001111011"
"263",2126,947,3,1067599,"",3,179,"100011100100111001111011"
"264",5188,948,3,1750601,"SP_1840",3,180,"011111100100100010111110"
"265",2033,950,2,993911,"",3,182,"101101001100001111001111"
"266",1664,952,3,748408,"SP_0795",3,184,"100101011011101111100100"
"267",5449,953,0,77223,"SP_0071",3,185,"001010000100000111100111"
"268",3121,958,1,1703815,"SP_1786",3,190,"111001000001111001111011"
"269",6025,959,1,526840,"",3,191,"010110011101100010111011"
"270",5743,961,1,1248303,"SP_1325",3,193,"001101101101001011101011"
"271",510,969,3,168912,"SP_0176",3,201,"101000001001000011111001"
"272",1231,969,1,543760,"SP_0576",3,201,"101000001001000011111001"
"273",4339,969,3,2154497,"SP_2233",3,201,"101000001001000011111001"
"274",2139,973,1,1071129,"F41-SP1142-SP1143",3,205,"101101000001001010001011"
"275",4964,974,3,1245795,"SP_1322",3,206,"000110110111110100101011"
"276",6191,975,0,2062719,"SP_2148",3,207,"000110110100100011010010"
"277",4660,980,0,505277,"SP_0525",3,212,"011101001110001011101110"
"278",661,982,0,241678,"",3,214,"110010011000110110000111"
"279",1192,986,3,529899,"SP_0563",3,218,"110111101001001100110000"
"280",4593,994,3,378170,"",3,226,"011011000100111011101011"
"281",6077,995,3,1074975,"",3,227,"100111110100100010111011"
"282",5382,997,3,2074360,"SP_2159",3,229,"011101000011010111001001"
"283",869,1001,2,360587,"",3,233,"000100101100110010101100"
"284",1566,1003,0,688628,"SP_0723",3,235,"101001011101011110001000"
"285",5023,1018,1,1355647,"SP_1435",3,250,"001101010000001111000101"
"286",3865,1019,0,2020748,"",3,251,"110010011111101000110011"
"287",3991,1021,0,2053160,"SP_2142",3,253,"100110011111000001011111"
"288",5777,1022,0,1403956,"SP_1493",3,254,"001000101100110011001001"
"289",3918,1023,0,2038466,"",3,255,"110101001110011110000010"
"290",5741,1025,0,1240307,"SP_1316",3,257,"001100111100001111001100"
"291",6282,1026,0,2051020,"SP_2141",3,258,"000010101110111001111110"
"292",5006,1029,3,1329127,"SP_1408",3,261,"011011001110100000011011"
"293",3196,1032,1,1732956,"",3,264,"110100011000011101110010"
"294",6020,1038,0,465678,"SP_0484",3,270,"000100010100101100101011"
"295",2831,1044,3,1543726,"SP_1645",3,276,"101101110100010001001000"
"296",4032,1048,3,2064720,"SP_2151",3,280,"110100100011001101101111"
"297",5269,1051,1,1918611,"SP_2011",3,283,"010100111111110011000011"
"298",6070,1052,1,987091,"SP_1047",3,284,"000001101110100000101110"
"299",4848,1057,0,969340,"",3,289,"010001110101111101010011"
"300",4954,1057,3,1235133,"SP_1308",3,289,"010001110101111101010011"
"301",1350,1060,0,602520,"SP_0638",3,292,"110010011101001011101011"
"302",4512,1066,0,189331,"SP_0202",3,298,"011011110100111010000001"
"303",6003,1070,0,293160,"SP_0318",3,302,"000100101100001111110101"
"304",6271,1072,0,1794229,"SP_1890",3,304,"000011111101000100011101"
"305",171,1076,2,76802,"SP_0071",3,308,"101010100101011001011111"
"306",3651,1076,3,1934934,"",3,308,"101010100101011001011111"
"307",4543,1078,2,246856,"",3,310,"010010111000011100011110"
"308",3213,1081,1,1735851,"",3,313,"111000100010011111101110"
"309",2887,1084,0,1583032,"SP_1683",3,316,"111010000011011010010000"
"310",1573,1087,3,691480,"",3,319,"100101101011110100010010"
"311",2940,1097,0,1597240,"SP_1693",3,329,"110011110010111000100001"
"312",1876,1103,0,910296,"SP_0964",3,335,"100010001111111101011010"
"313",1908,1105,0,943099,"",3,337,"111011100100010010001101"
"314",5964,1113,0,72508,"SP_0068",3,345,"000101001111101010011111"
"315",6158,1113,0,1801394,"",3,345,"000101001111101010011111"
"316",487,1115,0,162736,"SP_0167",3,347,"100010001101011101111101"
"317",1647,1117,3,737930,"SP_0784",3,349,"101100010100011101111101"
"318",3033,1119,2,1662801,"SP_1761",3,351,"000010011010110001011001"
"319",4889,1130,3,1041870,"SP_1112",3,362,"111001111100000011110011"
"320",5686,1135,1,976726,"SP_1035",3,367,"101111101100100100001100"
"321",2861,1141,3,1572389,"SP_1672",3,373,"111011100010100001111011"
"322",276,1142,1,110842,"SP_0109",3,374,"110010011001111100000000"
"323",616,1144,0,219700,"SP_0250",3,376,"101010010110101011110110"
"324",2834,1146,2,1545455,"SP_1646",3,378,"100010110100101110111000"
"325",5984,1151,3,153512,"",3,383,"000111100000100100111111"
"326",1422,1169,2,629251,"SP_0658",4,17,"100101101010100111110110"
"327",3316,1170,3,1765790,"SP_1858",4,18,"010110100110101000111010"
"328",5097,1174,0,1586033,"SP_1686",4,22,"011100100000001111111010"
"329",5043,1177,0,1435226,"SP_1525",4,25,"010011101010001100111111"
"330",2740,1178,0,1491425,"",4,26,"111011010011001101010011"
"331",1272,1179,1,552970,"",4,27,"100011010000101000111111"
"332",5441,1182,3,31399,"",4,30,"001100110001110100101110"
"333",3109,1183,1,1698422,"SP_1780",4,31,"101001010011101000001111"
"334",5105,1185,0,1593722,"",4,33,"010101011101100010001000"
"335",3555,1186,0,1890121,"SP_1987",4,34,"111110010001111000010100"
"336",896,1189,0,375977,"",4,37,"100000100001111001111101"
"337",5411,1190,0,2103572,"SP_2185",4,38,"010011011110011110000100"
"338",4371,1200,2,44,"",4,48,"011111100000010110101010"
"339",4983,1200,0,1266275,"SP_1343",4,48,"011111100000010110101010"
"340",136,1202,3,70486,"SP_0065",4,50,"001101100101010111111001"
"341",5524,1202,0,290924,"",4,50,"001101100101010111111001"
"342",5613,1202,3,583552,"SP_0615",4,50,"001101100101010111111001"
"343",1214,1203,1,542290,"SP_0575",4,51,"101010010010111011011000"
"344",1558,1204,0,684944,"",4,52,"101101001010011000000011"
"345",5054,1211,0,1486296,"",4,59,"011101110100110101001110"
"346",2123,1213,0,1064395,"",4,61,"111001111111010100001010"
"347",2378,1216,2,1245497,"SP_1322",4,64,"111000100101011000111001"
"348",5378,1219,1,2072404,"SP_2158",4,67,"010111000101010100110011"
"349",5760,1220,0,1302551,"SP_1380",4,68,"001110101111110001100011"
"350",5765,1220,3,1354549,"SP_1435",4,68,"001110101111110001100011"
"351",5790,1220,3,1507189,"",4,68,"001110101111110001100011"
"352",2046,1223,3,998849,"SP_1063",4,71,"001101011001100111110110"
"353",797,1235,0,300481,"SP_0327",4,83,"111000011011001000010001"
"354",3047,1243,0,1666681,"",4,91,"110011110010100001000010"
"355",5101,1245,3,1588687,"SP_1687",4,93,"010011011001100111110101"
"356",6196,1248,0,2074898,"SP_2159",4,96,"000110110110111101010011"
"357",2326,1253,3,1220341,"",4,101,"101100101100111110100011"
"358",4072,1253,3,2073745,"SP_2158",4,101,"101100101100111110100011"
"359",762,1254,2,286342,"SP_0312",4,102,"111111110100110100010100"
"360",2278,1254,0,1185582,"SP_1250",4,102,"111111110100110100010100"
"361",3221,1254,2,1737235,"SP_1826",4,102,"111111110100110100010100"
"362",5456,1255,2,93553,"SP_0090",4,103,"001000011100001111111010"
"363",4569,1256,3,297936,"SP_0324",4,104,"010001111101000101111011"
"364",2907,1258,0,1587689,"SP_1687",4,106,"100100000001100011010111"
"365",5357,1259,3,2053858,"SP_2143",4,107,"111011101001110000001100"
"366",5944,1261,3,2091195,"SP_2173",4,109,"000101000111101111101110"
"367",6312,1261,3,493698,"SP_0510",4,109,"000101000111101111101110"
"368",3643,1262,3,1931914,"SP_2026",4,110,"101011111001011011000011"
"369",5304,1266,0,1994390,"",4,114,"011010101101111000101000"
"370",1369,1267,2,609480,"SP_0641",4,115,"000110110010101110000010"
"371",3265,1268,2,1743837,"SP_1833",4,116,"101111101110011101001000"
"372",2782,1271,1,1521242,"SP_1621",4,119,"101000111110011111011000"
"373",5966,1272,3,75234,"SP_0071",4,120,"000101000010110101000111"
"374",1534,1273,1,673691,"SP_0708",4,121,"100010001111011010011111"
"375",4179,1275,3,2087869,"SP_2169",4,123,"101000111001111100110101"
"376",6155,1276,0,1782004,"SP_1879",4,124,"000111100100010000101011"
"377",4244,1277,0,2095442,"SP_2178",4,125,"110100100100110111100001"
"378",5471,1279,2,118487,"SP_0117",4,127,"001101010111110110110100"
"379",6311,1285,0,477378,"SP_0498",4,133,"000001100111010001111110"
"380",387,1286,1,143851,"",4,134,"100001110011101001011100"
"381",1300,1287,3,565770,"",4,135,"001111110110010111110000"
"382",2414,1287,3,1255658,"SP_1331",4,135,"001111110110010111110000"
"383",5614,1288,3,586885,"SP_0618",4,136,"001101100000110011110110"
"384",1004,1290,0,443483,"SP_0464",4,138,"101010101100010101010110"
"385",5780,1291,0,1437164,"SP_1526",4,139,"001011010010011101110100"
"386",3914,1294,1,2037619,"SP_2126",4,142,"100101100000100110011010"
"387",3409,1304,0,1822507,"SP_1908",4,152,"101011111011011100100001"
"388",4722,1312,0,626388,"SP_0655",4,160,"010110101001010111000101"
"389",4922,1312,0,1112413,"SP_1175",4,160,"010110101001010111000101"
"390",5884,1313,0,1937395,"SP_2031",4,161,"001000011110101100100010"
"391",5791,1318,0,1512754,"SP_1611",4,166,"001101100000010111001100"
"392",734,1319,0,279594,"SP_0306",4,167,"100101100010100001111000"
"393",5670,1323,3,898191,"SP_0949",4,171,"001000011001110010010110"
"394",4440,1324,2,103464,"",4,172,"010100111000001001001101"
"395",3452,1326,3,1845239,"SP_1941",4,174,"010010110001101101001110"
"396",1980,1329,0,980566,"SP_1040",4,177,"110100100111011101000001"
"397",5945,1343,0,2097388,"SP_2180",4,191,"001100110000111101010110"
"398",4120,1347,0,2079859,"SP_2161",4,195,"101001101100110001011111"
"399",1531,1348,3,672716,"SP_0707",4,196,"111101100001111001001101"
"400",1945,1348,0,956641,"SP_2248",4,196,"111101100001111001001101"
"401",2336,1349,0,1227332,"SP_1292",4,197,"111010111000110100101011"
"402",5408,1350,0,2098256,"",4,198,"010011011000010000101011"
"403",3422,1356,2,1831537,"",4,204,"111000101100101001101001"
"404",2566,1359,0,1350363,"SP_1431",4,207,"100011100111010000100100"
"405",3523,1360,3,1872886,"SP_1964",4,208,"100001110101100111110011"
"406",4524,1361,0,215302,"SP_0245",4,209,"010101011010000010011010"
